Name,Status,Price,Stars,Ratings,URL,UPC
AMD 5700 XT,Parts Only,$385.00,Tim,0,https://www.ebay.com/itm/203695487400?hash=item2f6d3279a8:g:bd8AAOSwVplhW~GW,
Open air 6 GPU Mining Rig ready to mine with one RX 5700 GPU ,Pre-Owned,"$3,500.00",0,0,https://www.ebay.com/itm/224435276428?hash=item3441628a8c:g:PgEAAOSwiENggZzn,
Amd Ryzen 9 5950x Radeon RX 5700 XT,Brand New,"$2,000.00",0,0,https://www.ebay.com/itm/393688580113?hash=item5ba9ab0011:g:MHQAAOSwEjphOTFa,
PowerColor Red Devil AMD Radeon RX 5700 XT (5700XT) 8GB - FREE 2 Day Shipping!,Open Box,"$1,299.97",4.5,0,https://www.ebay.com/itm/234189466855?epid=2306090758&hash=item3686c7ace7:g:hlsAAOSwBU9hHUmA,
Asus V9570LE nVidia GeForce FX 5700LE 128MB AGP VGA Card  - Test OK!,Pre-Owned,$19.99,0,0,https://www.ebay.com/itm/114898160867?hash=item1ac076cce3:g:mwcAAOSwJS5g9b9v,
SAPPHIRE NITRO+ RX 5700 XT,Pre-Owned,"$1,200.00",4.5,0,https://www.ebay.com/itm/324615740120?epid=19034681892&hash=item4b949b1ad8:g:KsYAAOSwWmlgmTfA,
Asrock RX 5700XT Phantom Gaming 8GB,Pre-Owned,"$1,050.00",4.0,0,https://www.ebay.com/itm/393694419627?epid=21037201193&hash=item5baa041aab:g:77cAAOSwCQNhS7gv,
ASUS NVIDIA GeForce FX 5700 128MB DDR 128bit AGP Excellent Condition!,Pre-Owned,$32.38,0,0,https://www.ebay.com/itm/324718834286?hash=item4b9ac0326e:g:bLgAAOSwc61g8-R~,
ASUS ROG Strix Gaming Radeon RX 5700  OC 8GB GDDR6 Graphics Card,Open Box,"$1,100.00",4.5,0,https://www.ebay.com/itm/304140386098?epid=28036271648&hash=item46d02dff32:g:IXcAAOSwJC9g2ucG,
SAPPHIRE SA-PULSE RADEON RX 5700 8G GDDR6 USED  JAPAN,Pre-Owned,"$1,199.99",0,0,https://www.ebay.com/itm/185164702538?hash=item2b1cad234a:g:2tcAAOSw05NhkhJ9,
AMD Radeon RX 5700 - Flashed to XT,Open Box,$910.00,Tim,0,https://www.ebay.com/itm/203690606199?hash=item2f6ce7fe77:g:COoAAOSwr3VhOshP,
AMD Radeon RX 5700 XT 8GB GDDR6 Graphics Card Dell 4FCCX Dell OEM Video 04FCCX,Pre-Owned,"$1,100.00",0,0,https://www.ebay.com/itm/194503775260?epid=16046961737&hash=item2d4954141c:g:ugMAAOSw8NxhkMpV,
Albatron NVIDIA GeForce FX 5700 (FX5700P) 128MB DDR SDRAM AGP rare!,Pre-Owned,$100.00,0,0,https://www.ebay.com/itm/132987831929?epid=3037181292&hash=item1ef6b14679:g:xcIAAOSwIelciWXY,
ASUS ROG Strix Gaming Radeon RX 5700 XT OC 8GB GDDR6 Graphics Card...,Pre-Owned,"$1,200.00",4.5,0,https://www.ebay.com/itm/255113718946?epid=28036271648&hash=item3b65f66ca2:g:IZMAAOSwZuNhK7cT,
Asrock rx 5700 xt Taichi 8gb *READ* repair ,Parts Only,$550.00,Tim,0,https://www.ebay.com/itm/115092905939?hash=item1acc125fd3:g:ey4AAOSwkSRhhI7K,
Box Only Sapphire Pulse RX 5700 Box,Open Box,$39.95,0,0,https://www.ebay.com/itm/393481189982?hash=item5b9d4e7a5e:g:ytEAAOSwwchhCQTq,
Sapphire Radeon Pulse RX 5700 XT 8GB GDDR6 PCIe 4.0 Card GPU,Open Box,"$1,499.00",4.5,0,https://www.ebay.com/itm/403244007422?epid=28040742861&hash=item5de3373ffe:g:R7sAAOSwdFlhcFUv,
ASRock Challenger AMD Radeon RX 5700 XT 8gb,Pre-Owned,,0,0,https://www.ebay.com/itm/165175700280?hash=item26753d2b38:g:gAEAAOSwOvthi18G,
2GB HP ELITE DT SFF 8300 8200 8100 8000 PRO 5700S Video Graphics Card,Brand New,$94.99,0,0,https://www.ebay.com/itm/162524200199?hash=item25d7327d07:g:Ul0AAOSwO2hbsuRq,
PowerColor Red Devil AMD Radeon RX 5700 XT 8GB GDDR6 Graphics Card AXRX 5700 XT,Pre-Owned,$900.00,4.5,0,https://www.ebay.com/itm/154694543511?epid=2306090758&hash=item2404836897:g:mnIAAOSwb21hiwFz,
ASUS ROG Strix Gaming Radeon RX 5700 XT OC 8GB GDDR6 Graphics Card ROG-STRIX,Pre-Owned,$632.63,4.5,0,https://www.ebay.com/itm/304225461702?epid=28036271648&hash=item46d54025c6:g:dsoAAOSwWzlhkXX~,
XFX RX 5700XT Raw II 8GB GDDR6,Pre-Owned,$510.00,Tim,0,https://www.ebay.com/itm/403284448058?hash=item5de5a0533a:g:YIwAAOSwkcthiWVo,
PNY MC2 Personal Cinema | EVGA FX5700,Pre-Owned,$49.99,0,0,https://www.ebay.com/itm/224503726777?hash=item34457702b9:g:uuwAAOSwQlxgzmhi,
XFX Thicc III Ultra AMD Radeon RX 5700 XT 8GB GDDR6 Graphics Card - RX57XT8TBD8,Pre-Owned,$770.00,4.5,0,https://www.ebay.com/itm/403294952421?epid=10035188556&hash=item5de6409be5:g:RjQAAOSwmTFhkE6m,
SAPPHIRE PULSE Radeon RX 5700 XT BE 8GB GDDR6 Graphics Card A202600013406,Pre-Owned,$750.00,4.5,0,https://www.ebay.com/itm/324877853779?epid=28040742861&hash=item4ba43aa453:g:zncAAOSwdr1hgbse,
MSI Radeon RX 5700 EVOKE OC 8GB 8G 256-bit GDDR6 PCI-E 4.0 AMD Video Card,Refurbished,$992.74,5.0,0,https://www.ebay.com/itm/275009526047?epid=10034699670&hash=item4007d8591f:g:EMIAAOSwFwBhfx3M,
PowerColor Red Devil AMD Radeon RX 5700 XT 8GB GDDR6 Graphics Card (AXRX 5700 XT,Pre-Owned,$750.00,4.5,0,https://www.ebay.com/itm/384494728846?epid=2306090758&hash=item5985abf68e:g:E2AAAOSwDjZhjUPW,
Sapphire Nitro+ Radeon RX 5700XT 8GB GDDR6 (Used ONLY for light gaming),Pre-Owned,$930.00,Tim,0,https://www.ebay.com/itm/224686611559?hash=item34505d9c67:g:XI0AAOSwWzlhjEPn,
